TimeStamp,Latitude,Longitude,Speed,Status
1691127697,29.92855,31.5404,60,1
1691127707,29.92805,31.54258,60,1
1691127717,29.92748,31.54473,60,1
1691127727,29.92691,31.54689,60,1
1691127737,29.92631,31.5492,60,1
1691127748,29.92562,31.55183,60,1
1691127758,29.92499,31.55428,60,1
1691127768,29.92436,31.55673,60,1
1691127778,29.92373,31.5592,60,1
1691127788,29.92309,31.56168,60,1
1691127798,29.92264,31.56415,60,1
1691127808,29.92263,31.56673,60,1
1691127818,29.92294,31.56919,60,1
1691127828,29.92325,31.57137,60,1
1691127838,29.92349,31.57314,60,1
1691127848,29.92367,31.57461,60,1
1691127858,29.92381,31.57581,60,1
1691127867,29.92389,31.57658,60,1
1691127877,29.92396,31.57713,60,1
1691127883,29.92397,31.57736,60,1
1691127890,29.92399,31.57739,60,1
1691127900,29.924,31.57745,60,1
1691127910,29.92401,31.57753,60,1
1691127920,29.924,31.57763,60,1
1691127930,29.92399,31.57766,60,1
1691127940,29.924,31.57772,60,1
1691127959,29.92407,31.57832,60,1
1691127969,29.92423,31.57928,60,1
1691127979,29.9244,31.58066,60,1
1691127989,29.92458,31.58214,60,1
1691127999,29.92479,31.58384,60,1
1691128009,29.92503,31.58566,60,1
1691128019,29.92529,31.58761,60,1
1691128029,29.92553,31.58964,60,1
1691128040,29.9258,31.59198,60,1
1691128050,29.92611,31.59419,60,1
1691128060,29.92638,31.59642,60,1
1691128070,29.92646,31.59871,60,1
1691128080,29.92618,31.601,60,1
1691128090,29.92574,31.60335,60,1
1691128100,29.92526,31.60567,60,1
1691128110,29.92484,31.60802,60,1
1691128120,29.92437,31.61039,60,1
1691128130,29.92365,31.61273,60,1
1691128140,29.9227,31.61502,60,1
1691128150,29.9217,31.61734,60,1
1691128160,29.92064,31.61967,60,1
1691128170,29.91957,31.62216,60,1
1691128180,29.91849,31.62467,60,1
1691128190,29.91738,31.62717,60,1
1691128201,29.91609,31.63007,60,1
1691128211,29.91494,31.63264,60,1
1691128221,29.9138,31.63523,60,1
1691128231,29.91269,31.6378,60,1
1691128241,29.91151,31.64034,60,1
1691128251,29.91035,31.64285,60,1
1691128261,29.90924,31.64543,60,1
1691128271,29.90819,31.64801,60,1
1691128281,29.90721,31.65075,60,1
1691128291,29.90672,31.65361,60,1
1691128301,29.90664,31.65646,60,1
1691128311,29.9066,31.65933,60,1
1691128321,29.90655,31.66221,60,1
1691128331,29.90653,31.66507,60,1
1691128342,29.90652,31.66825,60,1
1691128352,29.90648,31.67115,60,1
1691128362,29.90646,31.67404,60,1
1691128372,29.90647,31.6769,60,1
1691128382,29.9064,31.67971,60,1
1691128392,29.90635,31.68254,60,1
1691128402,29.90623,31.68537,60,1
1691128412,29.90612,31.68817,60,1
1691128422,29.906,31.69076,60,1
1691128432,29.9059,31.69308,60,1
1691128442,29.90577,31.69498,60,1
1691128452,29.90553,31.69642,60,1
1691128462,29.90426,31.69691,60,1
1691128472,29.90344,31.69562,60,1
1691128483,29.90449,31.69432,60,1
1691128493,29.90614,31.69437,60,1
1691128503,29.90801,31.69457,60,1
1691128513,29.91013,31.69484,60,1
1691128523,29.91243,31.69516,60,1
1691128533,29.91436,31.69546,60,1
1691128543,29.91575,31.69578,60,1
1691128553,29.9172,31.69595,60,1
1691128563,29.91874,31.69609,60,1
1691128573,29.92028,31.69611,60,1
1691128583,29.92192,31.69603,60,1
1691128593,29.92389,31.69571,60,1
1691128603,29.92609,31.69521,60,1
1691128613,29.92861,31.69458,60,1
1691128623,29.93108,31.69362,60,1
1691128634,29.93363,31.69238,60,1
1691128644,29.93584,31.69104,60,1
1691128654,29.93805,31.68952,60,1
1691128664,29.94027,31.68806,60,1
1691128674,29.94254,31.68663,60,1
1691128684,29.94484,31.68543,60,1
1691128694,29.94723,31.68447,60,1
1691128704,29.94981,31.68373,60,1
1691128714,29.95237,31.68332,60,1
1691128724,29.95503,31.68306,60,1
1691128734,29.95776,31.68313,60,1
1691128744,29.96041,31.68354,60,1
1691128754,29.96296,31.68418,60,1
1691128765,29.96571,31.68521,60,1
1691128775,29.96815,31.68645,60,1
1691128785,29.97043,31.68776,60,1
1691128795,29.97268,31.68907,60,1
1691128805,29.9749,31.6903,60,1
1691128815,29.97707,31.69157,60,1
1691128825,29.97929,31.69288,60,1
1691128835,29.98166,31.69426,60,1
1691128845,29.98405,31.69564,60,1
1691128855,29.98643,31.69704,60,1
1691128865,29.98881,31.69845,60,1
1691128875,29.99125,31.69985,60,1
1691128885,29.99368,31.70125,60,1
1691128895,29.99607,31.70265,60,1
1691128905,29.99841,31.70402,60,1
1691128916,30.00085,31.70539,60,1
1691128926,30.00287,31.70661,60,1
1691128936,30.00467,31.7077,60,1
1691128946,30.00585,31.70877,60,1
1691128956,30.00632,31.71059,60,1
1691128966,30.00602,31.71259,60,1
1691128976,30.00666,31.7146,60,1
1691128986,30.00657,31.71677,60,1
1691128996,30.00528,31.71843,60,1
1691129006,30.00368,31.71982,60,1
1691129016,30.00213,31.72116,60,1
1691129026,30.00058,31.72249,60,1
1691129036,29.99911,31.72374,60,1
1691129046,29.99759,31.72504,60,1
1691129057,29.99612,31.72619,60,1
1691129067,29.99519,31.7262,60,1
1691129077,29.99439,31.72684,60,1
1691129087,29.99451,31.72798,60,1
1691129097,29.99549,31.72833,60,1
1691129107,29.99647,31.72783,60,1
1691129117,29.99788,31.72796,60,1
1691129127,29.99951,31.72827,60,1
1691129137,30.00122,31.72861,60,1
1691129147,30.00298,31.72896,60,1
1691129157,30.00472,31.72935,60,1
1691129167,30.00646,31.72971,60,1
1691129177,30.00778,31.72995,60,1
1691129187,30.00911,31.73018,60,1
1691129197,30.01077,31.73049,60,1
1691129208,30.01259,31.73092,60,1
1691129218,30.01345,31.73147,60,1
1691129228,30.0144,31.73127,60,1
1691129238,30.01567,31.73147,60,1
1691129248,30.01726,31.73179,60,1
1691129258,30.01836,31.73201,60,1
1691129267,30.01871,31.73157,60,1
1691129277,30.01928,31.73114,60,1
1691129288,30.01937,31.73018,60,1
1691129298,30.01937,31.72892,60,1
1691129308,30.01921,31.72714,60,1
1691129318,30.019,31.72511,60,1
1691129328,30.01863,31.72284,60,1
1691129338,30.01845,31.72026,60,1
1691129349,30.01863,31.71828,60,1
1691129359,30.01859,31.71699,60,1
1691129369,30.01848,31.71514,60,1
1691129379,30.01842,31.71343,60,1
1691129389,30.01828,31.71151,60,1
1691129399,30.01825,31.7097,60,1
1691129409,30.01834,31.70823,60,1
1691129417,30.01841,31.70767,60,1
1691129428,30.01846,31.7071,60,1
1691129437,30.01854,31.70653,60,1
1691129447,30.019,31.70657,60,1
1691129450,30.01913,31.70659,60,1
1691129461,30.0192,31.70662,60,1
1691129478,30.01954,31.70663,60,1
1691129490,30.01992,31.70621,60,1
1691129500,30.02003,31.70575,60,1
1691129508,30.02031,31.70538,60,1
1691129520,30.02073,31.70546,60,1
1691129528,30.02099,31.7054,0,2
